id;station_a;station_b;distance
;Cikowice;Bochnia;3.794
;Bochnia;Rzezawa;6.082
;Rzezawa;Jasień Brzeski;3.109
;Jasień Brzeski;Brzesko Okocim;4.037
;Brzesko Okocim;Sterkowiec;4.878
;Sterkowiec;Biadoliny;4.095
;Biadoliny;Bogumiłowice;9.733
;Bogumiłowice;Tarnów Mościce;3.966
;Tarnów Mościce;Tarnów;3.536
;Tarnów;Wola Rzędzińska;8.001
;Wola Rzędzińska;Wałki;5.421
;Wałki;Czarna Tarnowska;8.016
;Czarna Tarnowska;Grabiny;6.319
;Grabiny;Dębica;5.465
;Dębica;Pustynia;4.852
;Pustynia;Kochanówka Pustków;4.332
;Kochanówka Pustków;Pustków;3.912
;Pustków;Dąbie koło Dębicy;2.87
;Dąbie koło Dębicy;Tuszyma;1.868
;Tuszyma;Rzemień;3.454
;Rzemień;Rzochów;2.764
;Rzochów;Wojsław;4.02
;Wojsław;Mielec;3.747
;Dębica;Dębica Wschodnia;3.296
;Dębica Wschodnia;Lubzina;5.87
;Lubzina;Ropczyce;3.883
;Ropczyce;Ropczyce Witkowice;3.267
;Ropczyce Witkowice;Sędziszów Małopolski;4.907
;Sędziszów Małopolski;Będziemyśl;6.102
;Będziemyśl;Trzciana;5.359
;Trzciana;Świlcza;4.097
;Świlcza;Rudna Wielka;2.892
;Rudna Wielka;Rzeszów Zachodni;5.512
;Rzeszów Główny;Rzeszów Załęże;5.081
;Rzeszów Załęże;Strażów;3.503
;Strażów;Krzemienica;5.3
;Krzemienica;Łańcut;2.9
;Łańcut;Głuchów;3.744
;Głuchów;Kosina;3.078
;Kosina;Rogóżno koło Łańcuta;2.911
;Rogóżno koło Łańcuta;Grzęska;6.43
;Grzęska;Przeworsk;3.87
;Przeworsk;Pełkinie;8.516
;Pełkinie;Jarosław;6.407
;Jarosław;Munina;3.974
;Munina;Ostrów koło Radymna;6.127
;Ostrów koło Radymna;Radymno;3.735
;Radymno;Sośnica Jarosławska;4.562
;Sośnica Jarosławska;Niziny;2.659
;Niziny;Walawa;1.954
;Walawa;Żurawica Rozrządowa;3.559
;Żurawica Rozrządowa;Żurawica;1.742
;Żurawica;Przemyśl Zasanie;5.095
;Przemyśl Zasanie;Przemyśl Główny;1.606
;Przemyśl Główny;Hurko;6.256
;Hurko;Medyka Towarowa;1.541
;Medyka Towarowa;Medyka Rozrządowa;2.176
;Medyka Rozrządowa;Medyka;2.789
;Munina;Surochów;5.277
;Surochów;Bobrówka;7.89
;Bobrówka;Zagrody;3.276
;Zagrody;Korzenica;2.392
